quote,author,title,company,headshot_filename
Being in Gildre feels like having founder co-workers that actually get it. They've saved me hours of research just by sharing what's worked for them.,Caitlin Van Berkel,Founder,Silver Lining Career Coach,caitlin_van_berkel.jpg
This is the first membership where I truly feel like I'm getting what I paid for. The value and time the Gildre team spends with us on our business is remarkable.,Iliana Alvarado,President,Ensyx Systems,iliana_alvarado.jpg
"Gildre continues to introduce me to an amazing, growing network of people that helped our company partner with and reach different sponsors. The in-person events are genuine and you get to connect with the real people behind unique companies.",Dan Hernandez,Co-Founder,HUPR,dan_hernandez.jpg
"The resources offered at Gildre are exceptionally beneficial for entrepreneurs and professionals, providing crucial tools and insights from seasoned mentors across countless industries.",Horacio Rilo,Founder,Boop.VIP,horacio_rilo.jpg
"I wanted to surround myself with others going through similar growth and challenges. Gildre gives me exactly that, a community where I can both give and gain exceptional value.",Elise Madrick,Founder,Cerené,elise_madrick.jpg
Gildre was instrumental when I was first starting my company and needed to meet other business owners who understood the same challenges.,Connor Fitzgerald,Founder,AGI Beacon,connor_fitzgerald.jpg
"The structure at Gildre is impressive, it's truly a space where founders challenge each other and mentorship isn't abstract.",Christof Mannfeld,Founder,SOLVEE,christof_mannfeld.jpg
"Joining Gildre was the best decision I made since starting my practice in 2016. Having mentors makes things smoother, and the path more enjoyable as well. At each encounter I got better ideas that improved my offering.",Carol Palombini,Founder,Palombini Coaching,carol_palombini.jpg
Since we joined Gildre we've started to see measurable consistency in new customers. Inbound interest continues to grow which has helped create momentum.,Alejandro Sandoval,Founder,Rodo,alejandro_sandoval.jpg
Joining Gildre has been a thrilling experience with vibrant and intelligent members across the globe. There are so many resources and advisors ready to lend an ear and guiding hand.,Yara Schilling,Director of Talent & Development,MoveOn,yara_schilling.jpg
"Gildre connected me with founders who had the SaaS and entrepreneurship experience I needed, so I wasn't walking that road alone.",Gavin Buckland,Founder,Clipsense.ai,gavin_buckland.jpg
"For founders in my network, Gildre is a rare community that consistently adds value, and I highly recommend checking them out!",Chris Riklin,Co-Founder,Topline,chris_riklin.jpg
"Since joining Gildre I've been able to receive great advice, find supportive friends, and solve pressing problems across a network of amazing individuals. If you're looking for an active and engaged community home, you'll find it here.",Tanho Attah,Co-Founder,Kade Keyo,tanho_attah.jpg
"Gildre is a thriving community of motivated, high-performing individuals who share knowledge, resources, and insights for those navigating the challenging world of startups.",Robyn Hobson,Chief Marketing Officer,Remote Vans,robyn_hobson.jpg
"The value of this community is the diverse voices on the platform. Each member is curious, genuine, engaging, and always open to a conversation.",William Luck,Founder,Cardo English,william_luck.jpg
